143, 12, 2013-11-01, 2014-01-05
218, 10, 2012-05-16, NULL
143, 10, 2009-01-01, 2011-04-27
218, 12, 2013-06-10, 2014-08-20
143, 15, 2010-08-15, 2012-03-20
218, 15, 2011-10-05, 2013-01-15
154, 11, 2012-07-20, 2013-09-25
205, 13, 2015-04-01, 2016-02-28
154, 12, 2014-03-10, 2016-06-15
205, 14, 2017-01-01, NULL
180, 15, 2019-08-10, 2020-12-31
180, 11, 2018-02-05, 2019-07-15
143, 14, 2016-09-10, 2018-04-30
218, 13, 2019-03-15, 2021-06-20
154, 10, 2017-11-01, NULL
154, 14, 2019-05-20, 2021-01-05
180, 14, 2021-03-01, NULL
205, 11, 2020-01-10, 2021-08-15
205, 12, 2019-06-01, 2020-12-31
143, 11, 2015-02-15, 2016-11-20
218, 11, 2018-04-25, NULL
154, 15, 2020-09-01, 2022-02-28
180, 13, 2020-11-10, NULL
205, 15, 2021-09-05, NULL
180, 12, 2017-07-01, 2019-01-15
218, 14, 2021-06-10, NULL
143, 13, 2019-01-20, 2020-08-31
205, 10, 2018-03-15, 2019-10-20
154, 13, 2018-10-01, 2020-03-31
180, 14, 2021-03-01, NULL
154, 15, 2020-09-01, 2022-02-28
180, 13, 2020-11-10, NULL
205, 15, 2021-09-05, NULL
180, 12, 2017-07-01, 2019-01-15
218, 14, 2021-06-10, NULL
143, 13, 2019-01-20, 2020-08-31
205, 10, 2018-03-15, 2019-10-20
154, 13, 2018-10-01, 2020-03-31
180, 14, 2021-03-01, NULL
154, 15, 2020-09-01, 2022-02-28
180, 13, 2020-11-10, NULL
205, 15, 2021-09-05, NULL
180, 12, 2017-07-01, 2019-01-15
218, 14, 2021-06-10, NULL
143, 13, 2019-01-20, 2020-08-31
205, 10, 2018-03-15, 2019-10-20
154, 13, 2018-10-01, 2020-03-31
180, 14, 2021-03-01, NULL
154, 15, 2020-09-01, 2022-02-28
180, 13, 2020-11-10, NULL
205, 15, 2021-09-05, NULL
180, 12, 2017-07-01, 2019-01-15
218, 14, 2021-06-10, NULL
143, 13, 2019-01-20, 2020-08-31
205, 10, 2018-03-15, 2019-10-20
154, 13, 2018-10-01, 2020-03-31
180, 14, 2021-03-01, NULL
154, 15, 2020-09-01, 2022-02-28
180, 13, 2020-11-10, NULL
205, 15, 2021-09-05, NULL
180, 12, 2017-07-01, 2019-01-15
218, 14, 2021-06-10, NULL
143, 13, 2019-01-20, 2020-08-31
205, 10, 2018-03-15, 2019-10-20
154, 13, 2018-10-01, 2020-03-31
180, 14, 2021-03-01, NULL
